groundTruth,result,charsInGroundTruth,charsInResult,flexCharacterAccuracy
GT_v3/v3_ZfN_1861_011.txt,results/EPOCH10/v3_ZfN_1861_011.txt,"27102","26740","0.934617371411704"
GT_v3/v3_ZfN_1862_001.txt,results/EPOCH10/v3_ZfN_1862_001.txt,"28624","28679","0.9931875349357183"
GT_v3/v3_ZfN_1865_010.txt,results/EPOCH10/v3_ZfN_1865_010.txt,"26827","26937","0.9909419614567413"
