groundTruth,result,wordIndexMissErrorRate,wordIndexFalseDetectionErrorRate,wordIndexSuccessRate,numberOfUniqueWordsInGroundTruth,numberOfUniqueWordsInResult,wordCountMissErrorRate,wordCountFalseDetectionErrorRate,wordCountSuccessRate,wordCountPrecision,wordCountRecall,wordCountFMeasure,numberOfWordsInGroundTruth,numberOfWordsInResult,charsInGroundTruth,charsInResult,characterAccuracy,wordsInGroundTruthExclStopWords,wordsInResultExclStopWords,wordAccuracyExclStopWords,wordsInGroundTruth,wordsInResult,wordAccuracy
GT_v2/v2_ZfN_1861_011.txt,results/EPOCH50/v2_ZfN_1861_011.txt,"0.11209133367929425","0.17303044949250845","0.8563563563563564","1927","2069","0.13507200596075353","0.1336283185840708","0.8656492358002407","0.8663716814159292","0.8942680977392099","0.8800988875154512","4379","4520","28034","27611","0.6427195548262824","4379","4520","0.5368805663393469","4379","4520","0.5368805663393469"
GT_v2/v2_ZfN_1862_001.txt,results/EPOCH50/v2_ZfN_1862_001.txt,"0.02947368421052632","0.04653567735263702","0.9619196661450183","1900","1934","0.03359706625588421","0.029295512671471752","0.9685489345071151","0.9707044873285282","0.9772940074906367","0.9739881021812667","4272","4301","29225","29292","0.9844653550042771","4272","4301","0.9592696629213483","4272","4301","0.9592696629213483"
GT_v2/v2_ZfN_1865_010.txt,results/EPOCH50/v2_ZfN_1865_010.txt,"0.02003338898163609","0.04552845528455285","0.9670510708401977","1797","1845","0.02338381027863501","0.03041735439754775","0.9730867080810645","0.9695826456024522","0.9856184084372004","0.9775347676215381","4172","4241","27386","27611","0.43916599722485944","4172","4241","0.36073825503355705","4172","4241","0.36073825503355705"
