groundTruth,result,wordIndexMissErrorRate,wordIndexFalseDetectionErrorRate,wordIndexSuccessRate,numberOfUniqueWordsInGroundTruth,numberOfUniqueWordsInResult,wordCountMissErrorRate,wordCountFalseDetectionErrorRate,wordCountSuccessRate,wordCountPrecision,wordCountRecall,wordCountFMeasure,numberOfWordsInGroundTruth,numberOfWordsInResult,charsInGroundTruth,charsInResult,characterAccuracy,wordsInGroundTruthExclStopWords,wordsInResultExclStopWords,wordAccuracyExclStopWords,wordsInGroundTruth,wordsInResult,wordAccuracy
GT_v4/v4_ZfN_1861_011.txt,results/EPOCH10/v4_ZfN_1861_011.txt,"0.10482615464452516","0.13663663663663664","0.8789808917197452","1927","1998","0.12090675965157582","0.11130978989718372","0.8838656751377424","0.8886902101028162","0.9079698561315369","0.8982265898565457","4379","4474","28034","27375","0.647178426196761","4379","4474","0.5494405115323133","4379","4474","0.5494405115323133"
GT_v4/v4_ZfN_1862_001.txt,results/EPOCH10/v4_ZfN_1862_001.txt,"0.021052631578947323","0.035269709543568464","0.9717868338557994","1900","1928","0.023706985998866448","0.021875727251570862","0.9772077854442304","0.9781242727484292","0.9838483146067416","0.9809779437507294","4272","4297","29225","29290","0.9852865697177074","4272","4297","0.9665262172284644","4272","4297","0.9665262172284644"
GT_v4/v4_ZfN_1865_010.txt,results/EPOCH10/v4_ZfN_1865_010.txt,"0.012799109627156358","0.030601092896174863","0.9782189137027847","1797","1830","0.016099209875056864","0.019486692015209126","0.9822041283276993","0.9805133079847909","0.9889741131351869","0.98472553699284","4172","4208","27386","27512","0.44161250273862557","4172","4208","0.3700862895493768","4172","4208","0.3700862895493768"
